,hgnc_symbol,human_ensembl_gene_id,mouse_ensembl_gene_id,mgi_symbol
0,C11orf58,ENSG00000110696,ENSMUSG00000030663,1110004F10Rik
1,C6orf118,ENSG00000112539,ENSMUSG00000023873,1700010I14Rik
2,C19orf12,ENSG00000131943,ENSMUSG00000054676,1600014C10Rik
3,SYCP3,ENSG00000139351,ENSMUSG00000054727,1700013H16Rik
4,C20orf144,ENSG00000149609,ENSMUSG00000038523,1700003F12Rik
5,C16orf74,ENSG00000154102,ENSMUSG00000043687,1190005I06Rik
6,C4orf19,ENSG00000154274,ENSMUSG00000060512,0610040J01Rik
7,C9orf85,ENSG00000155621,ENSMUSG00000035171,1110059E24Rik
8,C4orf36,ENSG00000163633,ENSMUSG00000029320,1700016H13Rik
9,KIAA1143,ENSG00000163807,ENSMUSG00000032551,1110059G10Rik
10,SPMIP6,ENSG00000164972,ENSMUSG00000028441,1110017D15Rik
11,C2orf68,ENSG00000168887,ENSMUSG00000058706,0610030E20Rik
12,SPMIP3,ENSG00000173728,ENSMUSG00000015962,1700016C15Rik
13,C9orf50,ENSG00000179058,ENSMUSG00000044320,1700001O22Rik
14,C3orf80,ENSG00000180044,ENSMUSG00000046999,1110032F04Rik
15,C8orf33,ENSG00000182307,ENSMUSG00000063236,1110038F14Rik
16,C6orf120,ENSG00000185127,ENSMUSG00000050088,1600012H06Rik
17,C1orf122,ENSG00000197982,ENSMUSG00000078570,1110065P20Rik
18,C19orf81,ENSG00000235034,ENSMUSG00000008028,1700008O03Rik
19,C12orf75,ENSG00000235162,ENSMUSG00000087651,1500009L16Rik
20,C4orf51,ENSG00000237136,ENSMUSG00000031682,1700011L22Rik
21,C11orf97,ENSG00000257057,ENSMUSG00000031927,1700012B09Rik
22,C17orf49,ENSG00000258315,ENSMUSG00000020831,0610010K14Rik
23,SPMAP1,ENSG00000275489,ENSMUSG00000018543,1700001P01Rik
24,C2orf81,ENSG00000284308,ENSMUSG00000030030,1700003E16Rik
25,CIMIP3,ENSG00000287363,ENSMUSG00000047150,1700001C19Rik
26,,,ENSMUSG00000020617,1700012B07Rik
27,,,ENSMUSG00000027973,1700006A11Rik
28,,,ENSMUSG00000028287,1700009N14Rik
29,,,ENSMUSG00000029766,1700012A03Rik
30,,,ENSMUSG00000039174,1700003H04Rik
31,,,ENSMUSG00000041399,1700013G24Rik
32,,,ENSMUSG00000043644,0610009L18Rik
33,,,ENSMUSG00000056508,1700001K19Rik
34,,,ENSMUSG00000057047,1700010B08Rik
35,,,ENSMUSG00000057818,1600029O15Rik
36,,,ENSMUSG00000058812,0610039K10Rik
37,,,ENSMUSG00000069118,1700008P02Rik
38,,,ENSMUSG00000071456,1110002L01Rik
39,,,ENSMUSG00000071721,1700010D01Rik
40,,,ENSMUSG00000072694,1500011B03Rik
41,,,ENSMUSG00000075511,1700001L05Rik
42,,,ENSMUSG00000079346,1700013D24Rik
43,,,ENSMUSG00000085114,1600025M17Rik
44,,,ENSMUSG00000085389,1700003M07Rik
45,,,ENSMUSG00000085457,1110046J04Rik
46,,,ENSMUSG00000085944,1700003D09Rik
47,,,ENSMUSG00000085972,1110028F11Rik
48,,,ENSMUSG00000085984,1700001G11Rik
49,,,ENSMUSG00000086330,1700007J10Rik
50,,,ENSMUSG00000087341,0610040F04Rik
51,,,ENSMUSG00000087361,0610043K17Rik
52,,,ENSMUSG00000087621,1700003G18Rik
53,,,ENSMUSG00000089730,1700007P06Rik
54,,,ENSMUSG00000089889,0610040B10Rik
55,,,ENSMUSG00000092203,1110038B12Rik
56,,,ENSMUSG00000092599,1700010K23Rik
57,,,ENSMUSG00000094690,1600014C23Rik
58,,,ENSMUSG00000094732,1500015L24Rik
59,,,ENSMUSG00000095040,1700001J03Rik
60,,,ENSMUSG00000095384,1700001F09Rik
61,,,ENSMUSG00000096573,1700009J07Rik
62,,,ENSMUSG00000097047,1110020A21Rik
63,,,ENSMUSG00000097048,1600020E01Rik
64,,,ENSMUSG00000097247,1500012K07Rik
65,,,ENSMUSG00000097290,1300002E11Rik
66,,,ENSMUSG00000097318,1700007L15Rik
67,,,ENSMUSG00000097616,1110019D14Rik
68,,,ENSMUSG00000097882,0610038B21Rik
69,,,ENSMUSG00000098659,1110015O18Rik
70,,,ENSMUSG00000098702,1500015A07Rik
71,,,ENSMUSG00000098912,1500004A13Rik
72,,,ENSMUSG00000099139,1110028F18Rik
73,,,ENSMUSG00000099146,0610031O16Rik
74,,,ENSMUSG00000099391,1700003C15Rik
75,,,ENSMUSG00000099419,1700001D01Rik
76,,,ENSMUSG00000099429,1600019K03Rik
77,,,ENSMUSG00000100010,1700010I02Rik
78,,,ENSMUSG00000100274,1700006F04Rik
79,,,ENSMUSG00000100314,1700010J16Rik
80,,,ENSMUSG00000100625,1700016G22Rik
81,,,ENSMUSG00000100666,1700007F19Rik
82,,,ENSMUSG00000100727,1700003P14Rik
